Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,0.8800000000000001
Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodDanceRomantic,Luka Chuppi,0.9
Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,0.97
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,0.9099999999999999
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,0.9199999999999999
Gali Gali,Neha Kakkar,BollywoodDance,KGF,0.9099999999999999
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,0.9199999999999999
Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,0.95
Kamariya,Darshan Raval,BollywoodDance,Mitron,0.9199999999999999
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,0.96
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,0.8800000000000001
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,0.8400000000000001
Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,0.9099999999999999
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,0.9199999999999999
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,0.9
Doori,Ranveer Singh,BollywoodDance,Gully Boy,0.97
Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,0.9099999999999999
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",BollywoodDance,Zero,0.9
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety,0.9
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero,0.9099999999999999
Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero,0.9199999999999999
High Rated Gabru – Nawabzaade,Guru Randhawa,BollywoodDance,Nawabzaade,0.9199999999999999
Dekhte Dekhte,Atif Aslam,BollywoodRomantic,Batti Gul Meter Chalu,0.95
Zingaat,"Ajay, Atul",BollywoodDance,Dhadak,0.86
Tareefan,Badshah,Bollywood,Veere Di Wedding,0.9099999999999999
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Fever,0.9
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,0.9
Tere Naal Nachna,"Badshah, Sunanda Sharma",BollywoodDance,Nawabzaade,0.9199999999999999
Dil Meri Na Sune,Atif Aslam,BollywoodRomantic,Genius,0.95
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,0.9400000000000001
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",BollywoodDanceRomantic,Race 3,0.8699999999999999
Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,0.93
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,0.93
Paniyon Sa,"Atif Aslam, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,0.95
Milegi Milegi,Mika Singh,BollywoodDance,Stree,0.9099999999999999
Morni Banke,"Guru Randhawa, Neha Kakkar",BollywoodDance,Badhaai Ho,0.9
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",BollywoodDance,Namaste England,0.9
Khalibali,Shivam Pathak,BollywoodDance,Padmaavat,0.9099999999999999
Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",BollywoodDance,Stree,0.8400000000000001
Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",BollywoodDance,Badrinath Ki Dulhania,0.8400000000000001
Cheez Badi,"Neha Kakkar, Udit Narayan",BollywoodDance,Machine,0.8800000000000001
Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",BollywoodDance,Loveratri,0.9199999999999999
Sweetheart,Dev Negi,BollywoodDance,Kedarnath,0.9199999999999999
Namo Namo,Amit Trivedi,BollywoodDevotional,Kedarnath,0.96
Qaafirana,"Arijit Singh, Nikhita Gandhi",BollywoodRomantic,Kedarnath,0.96
Tu Hi Re,"Armaan Malik, Shashaa Tirupati",BollywoodDance,2,0.9
Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,0.9099999999999999
Galti Se Mistake,"Amit Mishra, Arijit Singh",BollywoodDance,Jagga Jasoos,0.85
Phir Mulaaqat,Jubin Nautiyal,BollywoodRomantic,Cheat India,0.95
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",BollywoodDance,Baar Baar Dekho,0.85
Mantoiyat,Raftaar,Bollywood,Manto,0.97
Nashe Si Chadh Gayi,Arijit Singh,BollywoodDance,Befikre,0.89
Mera Pyar Tera Pyar,Arijit Singh,BollywoodRomanticSad,Jalebi,0.96
Ding Dang,"Amit Mishra, Antara Mitra",BollywoodDance,Munna Michael,0.85
Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",BollywoodDance,Raabta,0.9099999999999999
Laila Main Laila,Pawni Pandey,BollywoodDance,Raees,0.8699999999999999
Ghoomar,"Shreya Ghoshal, Swaroop Khan",BollywoodDance,Padmaavat,0.86
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",BollywoodDance,Yamla Pagla Deewana Phir Se,0.93
Pal,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Jalebi,0.97
Patola,Guru Randhawa,BollywoodDance,Black Mail,0.89
Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",BollywoodDance,Shaadi Mein Zaroor Aana,0.9
Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",Bollywood,Sanju,0.9
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",BollywoodDance,Baazaar,0.93
This Party Is Over Now,Yo Yo Honey Singh,BollywoodDance,Mitron,0.93
Heer Badnaam,Romy,BollywoodDanceSad,Zero,0.9099999999999999
Tera Hua,Atif Aslam,BollywoodRomantic,Loveratri,0.9
Jaan Nisaar,Arijit Singh,BollywoodRomantic,Kedarnath,0.97
Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",BollywoodDanceRomantic,Loveratri,0.9199999999999999
Rangtaari,"Dev Negi, Yo Yo Honey Singh",BollywoodDance,Loveratri,0.9099999999999999
